fecha,Metro  y Suburbano
01/01/2012,54.763
01/02/2012,55.723
01/03/2012,57.169
01/04/2012,50.379
01/05/2012,55.199
01/06/2012,52.438
01/07/2012,45.335
01/08/2012,32.532
01/09/2012,47.188
01/10/2012,55.825
01/11/2012,51.468
01/12/2012,48.270
01/01/2013,49.379
01/02/2013,49.153
01/03/2013,46.652
01/04/2013,52.445
01/05/2013,49.995
01/06/2013,47.766
01/07/2013,41.747
01/08/2013,28.520
01/09/2013,44.655
01/10/2013,53.394
01/11/2013,50.383
01/12/2013,48.877
01/01/2014,49.093
01/02/2014,47.919
01/03/2014,48.127
01/04/2014,47.261
01/05/2014,49.268
01/06/2014,46.632
01/07/2014,42.988
01/08/2014,29.138
01/09/2014,46.693
01/10/2014,54.465
01/11/2014,49.669
01/12/2014,50.134
01/01/2015,47.984
01/02/2015,47.754
01/03/2015,50.761
01/04/2015,50.761
01/05/2015,50.119
01/06/2015,47.904
01/07/2015,43.503
01/08/2015,30.198
01/09/2015,47.608
01/10/2015,55.069
01/11/2015,52.909
01/12/2015,51.402
01/01/2016,48.655
01/02/2016,51.886
01/03/2016,50.383
01/04/2016,50.518
01/05/2016,52.285
01/06/2016,49.978
01/07/2016,40.922
01/08/2016,31.666
01/09/2016,48.833
01/10/2016,53.477
01/11/2016,54.115
01/12/2016,53.314
01/01/2017,52.818
01/02/2017,52.670
01/03/2017,58.014
01/04/2017,50.324
01/05/2017,56.025
01/06/2017,55.107
01/07/2017,46.361
01/08/2017,35.400
01/09/2017,52.887
01/10/2017,59.656
01/11/2017,58.226
01/12/2017,54.172
01/01/2018,56.612
01/02/2018,55.936
01/03/2018,57.055
01/04/2018,58.871
01/05/2018,58.807
01/06/2018,56.145
01/07/2018,49.156
01/08/2018,35.096
01/09/2018,54.070
01/10/2018,63.461
01/11/2018,60.623
01/12/2018,57.050
01/01/2019,59.121
01/02/2019,57.862
01/03/2019,61.997
01/04/2019,55.743
01/05/2019,58.053
01/06/2019,57.400
01/07/2019,51.376
01/08/2019,36.397
01/09/2019,56.762
01/10/2019,66.748
01/11/2019,63.349
01/12/2019,58.527
01/01/2020,60.106
01/02/2020,60.902
01/03/2020,26.630
01/04/2020,4.900
01/05/2020,9.711
01/06/2020,21.932
01/07/2020,27.253
01/08/2020,20.837
01/09/2020,28.090
01/10/2020,30.315
01/11/2020,30.732
01/12/2020,31.160
01/01/2021,29.504
01/02/2021,30.537
01/03/2021,35.323
01/04/2021,34.068
01/05/2021,36.392
01/06/2021,38.004
01/07/2021,34.277
01/08/2021,26.166
