fecha,Total viajeros,mes_x,ano_x,tmed,tmin,tmax,dir,velmedia,racha,presMax,presMin,sol,tmedStd,tminStd,tmaxStd,dirStd,velmediaStd,rachaStd,presMaxStd,presMinStd,solStd,mes_y,ano_y,festividad
01/01/1987,68.718,,,,,,,,,,,,,,,,,,,,,,,
01/02/1987,68.782,,,,,,,,,,,,,,,,,,,,,,,
01/03/1987,73.381,,,,,,,,,,,,,,,,,,,,,,,
01/04/1987,64.015,,,,,,,,,,,,,,,,,,,,,,,
01/05/1987,70.526,,,,,,,,,,,,,,,,,,,,,,,
01/06/1987,67.444,,,,,,,,,,,,,,,,,,,,,,,
01/07/1987,59.195,,,,,,,,,,,,,,,,,,,,,,,
01/08/1987,35.349,,,,,,,,,,,,,,,,,,,,,,,
01/09/1987,62.362,,,,,,,,,,,,,,,,,,,,,,,
01/10/1987,75.861,,,,,,,,,,,,,,,,,,,,,,,
01/11/1987,75.172,,,,,,,,,,,,,,,,,,,,,,,
01/12/1987,73.045,,,,,,,,,,,,,,,,,,,,,,,
01/01/1988,71.254,,,,,,,,,,,,,,,,,,,,,,,
01/02/1988,74.079,,,,,,,,,,,,,,,,,,,,,,,
01/03/1988,73.26,,,,,,,,,,,,,,,,,,,,,,,
01/04/1988,71.708,,,,,,,,,,,,,,,,,,,,,,,
01/05/1988,76.725,,,,,,,,,,,,,,,,,,,,,,,
01/06/1988,69.898,,,,,,,,,,,,,,,,,,,,,,,
01/07/1988,58.393,,,,,,,,,,,,,,,,,,,,,,,
01/08/1988,37.356,,,,,,,,,,,,,,,,,,,,,,,
01/09/1988,63.111,,,,,,,,,,,,,,,,,,,,,,,
01/10/1988,76.192,,,,,,,,,,,,,,,,,,,,,,,
01/11/1988,78.208,,,,,,,,,,,,,,,,,,,,,,,
01/12/1988,72.167,,,,,,,,,,,,,,,,,,,,,,,
01/01/1989,77.143,,,,,,,,,,,,,,,,,,,,,,,
01/02/1989,73.902,,,,,,,,,,,,,,,,,,,,,,,
01/03/1989,74.781,,,,,,,,,,,,,,,,,,,,,,,
01/04/1989,74.392,,,,,,,,,,,,,,,,,,,,,,,
01/05/1989,71.318,,,,,,,,,,,,,,,,,,,,,,,
01/06/1989,75.054,,,,,,,,,,,,,,,,,,,,,,,
01/07/1989,60.187,,,,,,,,,,,,,,,,,,,,,,,
01/08/1989,37.817,,,,,,,,,,,,,,,,,,,,,,,
01/09/1989,63.849,,,,,,,,,,,,,,,,,,,,,,,
01/10/1989,79.904,,,,,,,,,,,,,,,,,,,,,,,
01/11/1989,80.075,,,,,,,,,,,,,,,,,,,,,,,
01/12/1989,74.539,,,,,,,,,,,,,,,,,,,,,,,
01/01/1990,81.276,,,,,,,,,,,,,,,,,,,,,,,
01/02/1990,77.416,,,,,,,,,,,,,,,,,,,,,,,
01/03/1990,64.703,,,,,,,,,,,,,,,,,,,,,,,
01/04/1990,59.451,,,,,,,,,,,,,,,,,,,,,,,
01/05/1990,79.341,,,,,,,,,,,,,,,,,,,,,,,
01/06/1990,74.103,,,,,,,,,,,,,,,,,,,,,,,
01/07/1990,61.752,,,,,,,,,,,,,,,,,,,,,,,
01/08/1990,38.162,,,,,,,,,,,,,,,,,,,,,,,
01/09/1990,62.7,,,,,,,,,,,,,,,,,,,,,,,
01/10/1990,83.639,,,,,,,,,,,,,,,,,,,,,,,
01/11/1990,81.299,,,,,,,,,,,,,,,,,,,,,,,
01/12/1990,75.039,,,,,,,,,,,,,,,,,,,,,,,
01/01/1991,77.8,,,,,,,,,,,,,,,,,,,,,,,
01/02/1991,75.159,,,,,,,,,,,,,,,,,,,,,,,
01/03/1991,72.572,,,,,,,,,,,,,,,,,,,,,,,
01/04/1991,84.11,,,,,,,,,,,,,,,,,,,,,,,
01/05/1991,78.26,,,,,,,,,,,,,,,,,,,,,,,
01/06/1991,74.287,,,,,,,,,,,,,,,,,,,,,,,
01/07/1991,64.664,,,,,,,,,,,,,,,,,,,,,,,
01/08/1991,38.146,,,,,,,,,,,,,,,,,,,,,,,
01/09/1991,65.997,,,,,,,,,,,,,,,,,,,,,,,
01/10/1991,87.259,,,,,,,,,,,,,,,,,,,,,,,
01/11/1991,83.117,,,,,,,,,,,,,,,,,,,,,,,
01/12/1991,77.914,,,,,,,,,,,,,,,,,,,,,,,
01/01/1992,81.547,,,,,,,,,,,,,,,,,,,,,,,
01/02/1992,43.945,,,,,,,,,,,,,,,,,,,,,,,
01/03/1992,69.633,,,,,,,,,,,,,,,,,,,,,,,
01/04/1992,70.908,,,,,,,,,,,,,,,,,,,,,,,
01/05/1992,75.92,,,,,,,,,,,,,,,,,,,,,,,
01/06/1992,78.803,,,,,,,,,,,,,,,,,,,,,,,
01/07/1992,66.069,,,,,,,,,,,,,,,,,,,,,,,
01/08/1992,37.818,,,,,,,,,,,,,,,,,,,,,,,
01/09/1992,66.917,,,,,,,,,,,,,,,,,,,,,,,
01/10/1992,83.384,,,,,,,,,,,,,,,,,,,,,,,
01/11/1992,83.161,,,,,,,,,,,,,,,,,,,,,,,
01/12/1992,80.155,,,,,,,,,,,,,,,,,,,,,,,
01/01/1993,76.965,,,,,,,,,,,,,,,,,,,,,,,
01/02/1993,76.026,,,,,,,,,,,,,,,,,,,,,,,
01/03/1993,85.458,,,,,,,,,,,,,,,,,,,,,,,
01/04/1993,73.385,,,,,,,,,,,,,,,,,,,,,,,
01/05/1993,83.168,,,,,,,,,,,,,,,,,,,,,,,
01/06/1993,79.76,,,,,,,,,,,,,,,,,,,,,,,
01/07/1993,64.039,,,,,,,,,,,,,,,,,,,,,,,
01/08/1993,38.069,,,,,,,,,,,,,,,,,,,,,,,
01/09/1993,67.812,,,,,,,,,,,,,,,,,,,,,,,
01/10/1993,80.387,,,,,,,,,,,,,,,,,,,,,,,
01/11/1993,82.76,,,,,,,,,,,,,,,,,,,,,,,
01/12/1993,81.845,,,,,,,,,,,,,,,,,,,,,,,
01/01/1994,77.23,,,,,,,,,,,,,,,,,,,,,,,
01/02/1994,78.39,,,,,,,,,,,,,,,,,,,,,,,
01/03/1994,85.017,,,,,,,,,,,,,,,,,,,,,,,
01/04/1994,80.511,,,,,,,,,,,,,,,,,,,,,,,
01/05/1994,83.877,,,,,,,,,,,,,,,,,,,,,,,
01/06/1994,79.65,,,,,,,,,,,,,,,,,,,,,,,
01/07/1994,60.401,,,,,,,,,,,,,,,,,,,,,,,
01/08/1994,39.476,,,,,,,,,,,,,,,,,,,,,,,
01/09/1994,67.679,,,,,,,,,,,,,,,,,,,,,,,
01/10/1994,83.939,,,,,,,,,,,,,,,,,,,,,,,
01/11/1994,86.078,,,,,,,,,,,,,,,,,,,,,,,
01/12/1994,79.831,,,,,,,,,,,,,,,,,,,,,,,
01/01/1995,47.97,,,,,,,,,,,,,,,,,,,,,,,
01/02/1995,45.702,,,,,,,,,,,,,,,,,,,,,,,
01/03/1995,51.285,,,,,,,,,,,,,,,,,,,,,,,
01/04/1995,42.04,,,,,,,,,,,,,,,,,,,,,,,
01/05/1995,48.486,,,,,,,,,,,,,,,,,,,,,,,
01/06/1995,47.953,,,,,,,,,,,,,,,,,,,,,,,
01/07/1995,37.528,,,,,,,,,,,,,,,,,,,,,,,
01/08/1995,24.702,,,,,,,,,,,,,,,,,,,,,,,
01/09/1995,39.941,,,,,,,,,,,,,,,,,,,,,,,
01/10/1995,49.705,,,,,,,,,,,,,,,,,,,,,,,
01/11/1995,48.813,,,,,,,,,,,,,,,,,,,,,,,
01/12/1995,45.413,,,,,,,,,,,,,,,,,,,,,,,
01/01/1996,87.193,,,,,,,,,,,,,,,,,,,,,,,
01/02/1996,84.395,,,,,,,,,,,,,,,,,,,,,,,
01/03/1996,86.063,,,,,,,,,,,,,,,,,,,,,,,
01/04/1996,79.175,,,,,,,,,,,,,,,,,,,,,,,
01/05/1996,83.916,,,,,,,,,,,,,,,,,,,,,,,
01/06/1996,79.936,,,,,,,,,,,,,,,,,,,,,,,
01/07/1996,68.261,,,,,,,,,,,,,,,,,,,,,,,
01/08/1996,41.72,,,,,,,,,,,,,,,,,,,,,,,
01/09/1996,71.646,,,,,,,,,,,,,,,,,,,,,,,
01/10/1996,93.538,,,,,,,,,,,,,,,,,,,,,,,
01/11/1996,88.142,,,,,,,,,,,,,,,,,,,,,,,
01/12/1996,86.142,,,,,,,,,,,,,,,,,,,,,,,
01/01/1997,87.498,,,,,,,,,,,,,,,,,,,,,,,
01/02/1997,82.833,,,,,,,,,,,,,,,,,,,,,,,
01/03/1997,81.29,,,,,,,,,,,,,,,,,,,,,,,
01/04/1997,91.68,,,,,,,,,,,,,,,,,,,,,,,
01/05/1997,84.534,,,,,,,,,,,,,,,,,,,,,,,
01/06/1997,84.289,,,,,,,,,,,,,,,,,,,,,,,
01/07/1997,71.068,,,,,,,,,,,,,,,,,,,,,,,
01/08/1997,43.216,,,,,,,,,,,,,,,,,,,,,,,
01/09/1997,73.008,,,,,,,,,,,,,,,,,,,,,,,
01/10/1997,96.581,,,,,,,,,,,,,,,,,,,,,,,
01/11/1997,90.859,,,,,,,,,,,,,,,,,,,,,,,
01/12/1997,90.874,,,,,,,,,,,,,,,,,,,,,,,
01/01/1998,87.377,,,,,,,,,,,,,,,,,,,,,,,
01/02/1998,84.594,,,,,,,,,,,,,,,,,,,,,,,
01/03/1998,91.894,,,,,,,,,,,,,,,,,,,,,,,
01/04/1998,81.627,,,,,,,,,,,,,,,,,,,,,,,
01/05/1998,86.877,,,,,,,,,,,,,,,,,,,,,,,
01/06/1998,87.606,,,,,,,,,,,,,,,,,,,,,,,
01/07/1998,73.075,,,,,,,,,,,,,,,,,,,,,,,
01/08/1998,44.922,,,,,,,,,,,,,,,,,,,,,,,
01/09/1998,76.555,,,,,,,,,,,,,,,,,,,,,,,
01/10/1998,93.744,,,,,,,,,,,,,,,,,,,,,,,
01/11/1998,89.837,,,,,,,,,,,,,,,,,,,,,,,
01/12/1998,92.394,,,,,,,,,,,,,,,,,,,,,,,
01/01/1999,83.62,,,,,,,,,,,,,,,,,,,,,,,
01/02/1999,83.59,,,,,,,,,,,,,,,,,,,,,,,
01/03/1999,92.522,,,,,,,,,,,,,,,,,,,,,,,
