,0
2000-02-01,92.705
2000-03-01,102.479
2000-04-01,83.902
2000-05-01,94.966
2000-06-01,93.3
2000-07-01,76.092
2000-08-01,52.362
2000-09-01,81.385
2000-10-01,98.678
2000-11-01,97.734
2000-12-01,92.875
2001-01-01,94.34
2001-02-01,88.902
2001-03-01,100.286
2001-04-01,83.804
2001-05-01,93.714
2001-06-01,91.596
2001-07-01,76.931
2001-08-01,51.536
2001-09-01,78.889
2001-10-01,100.379
2001-11-01,92.863
2001-12-01,86.68
2002-01-01,92.163
2002-02-01,88.767
2002-03-01,85.151
2002-04-01,97.402
2002-05-01,92.955
2002-06-01,86.721
2002-07-01,79.688
2002-08-01,52.279
2002-09-01,80.905
2002-10-01,102.096
2002-11-01,94.999
2002-12-01,90.326
2003-01-01,92.799
2003-02-01,89.521
2003-03-01,96.758
2003-04-01,90.471
2003-05-01,95.38
2003-06-01,93.79
2003-07-01,82.131
2003-08-01,52.825
2003-09-01,83.04
2003-10-01,104.507
2003-11-01,96.839
2003-12-01,94.453
2004-01-01,94.18
2004-02-01,93.634
2004-03-01,103.316
2004-04-01,90.064
2004-05-01,100.069
2004-06-01,95.8
2004-07-01,80.013
2004-08-01,54.81
2004-09-01,86.731
2004-10-01,97.731
2004-11-01,99.346
2004-12-01,93.807
2005-01-01,94.002
2005-02-01,93.545
2005-03-01,96.868
2005-04-01,102.846
2005-05-01,99.894
2005-06-01,99.909
2005-07-01,80.407
2005-08-01,59.778
2005-09-01,88.606
2005-10-01,101.713
2005-11-01,102.865
2005-12-01,97.159
2006-01-01,99.926
2006-02-01,97.095
2006-03-01,107.793
2006-04-01,91.301
2006-05-01,102.632
2006-06-01,102.485
2006-07-01,87.726
2006-08-01,65.089
2006-09-01,91.524
2006-10-01,104.132
2006-11-01,101.928
2006-12-01,96.418
2007-01-01,101.691
2007-02-01,96.943
2007-03-01,108.647
2007-04-01,92.276
2007-05-01,103.228
2007-06-01,101.045
2007-07-01,87.034
2007-08-01,63.808
2007-09-01,88.307
2007-10-01,106.105
2007-11-01,99.667
2007-12-01,94.374
2008-01-01,99.904
2008-02-01,98.063
