fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin
01/01/2010,3195,MADRID. RETIRO,MADRID,667,5.6,0.1,3.6,Varias,7.6,12:30,26,4.4,16.1,13:20,938.5,24,928.5,0
01/01/2010,3195,MADRID. RETIRO,MADRID,667,5.6,0.1,3.6,Varias,7.6,12:30,26,4.4,16.1,13:20,938.5,24,928.5,0
02/01/2010,3195,MADRID. RETIRO,MADRID,667,5,0,2.6,03:40,7.5,15:10,27,1.1,5.8,01:00,942.8,Varias,938.5,0
02/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,5,0,2.3,Varias,7.6,Varias,,0,,,,,,
02/01/2010,3195,MADRID. RETIRO,MADRID,667,5,0,2.6,03:40,7.5,15:10,27,1.1,5.8,01:00,942.8,Varias,938.5,0
03/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,4.7,4.3,2.3,02:10,7.1,12:40,15,0.6,4.7,15:20,,,,
03/01/2010,3195,MADRID. RETIRO,MADRID,667,5.8,6.7,4.2,02:30,7.4,13:20,16,0.8,5.3,15:20,941.6,3,936.4,24
03/01/2010,3195,MADRID. RETIRO,MADRID,667,5.8,6.7,4.2,02:30,7.4,13:20,16,0.8,5.3,15:20,941.6,3,936.4,24
04/01/2010,3195,MADRID. RETIRO,MADRID,667,7.8,9.5,6.4,Varias,9.2,17:10,4,1.7,6.7,06:20,936.4,0,924.2,24
04/01/2010,3195,MADRID. RETIRO,MADRID,667,7.8,9.5,6.4,Varias,9.2,17:10,4,1.7,6.7,06:20,936.4,0,924.2,24
04/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,7.8,8.5,6.3,00:50,9.4,17:00,6,1.1,5.6,09:00,,,,
05/01/2010,3195,MADRID. RETIRO,MADRID,667,8,0,6.2,23:59,9.8,14:50,31,0.6,5.3,21:30,926,24,922.6,6
05/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,8.2,0,4.7,23:59,11.7,12:50,27,0.6,8.1,15:10,,,,
05/01/2010,3195,MADRID. RETIRO,MADRID,667,8,0,6.2,23:59,9.8,14:50,31,0.6,5.3,21:30,926,24,922.6,6
06/01/2010,3195,MADRID. RETIRO,MADRID,667,5.2,5.3,3.6,23:59,6.8,14:10,23,2.8,8.1,15:05,928.6,11,925.8,24
06/01/2010,3195,MADRID. RETIRO,MADRID,667,5.2,5.3,3.6,23:59,6.8,14:10,23,2.8,8.1,15:05,928.6,11,925.8,24
06/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,5.8,4.8,3.3,03:50,8.2,14:20,99,1.7,8.1,Varias,,,,
07/01/2010,3195,MADRID. RETIRO,MADRID,667,2.1,9.3,0.6,Varias,3.6,00:00,2,5,16.1,14:00,925.8,0,920.3,14
07/01/2010,3195,MADRID. RETIRO,MADRID,667,2.1,9.3,0.6,Varias,3.6,00:00,2,5,16.1,14:00,925.8,0,920.3,14
07/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,2.4,7.2,0.5,23:30,4.2,,7,3.9,14.2,12:50,,,,
08/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,1.6,0.9,-1.2,22:10,4.4,13:50,34,2.8,13.9,05:10,,,,
08/01/2010,3195,MADRID. RETIRO,MADRID,667,1.4,0,-0.2,07:00,3,13:30,,3.6,,,934.1,24,923.4,0
08/01/2010,3195,MADRID. RETIRO,MADRID,667,1.4,0,-0.2,07:00,3,13:30,,3.6,,,934.1,24,923.4,0
09/01/2010,3195,MADRID. RETIRO,MADRID,667,0.3,0,-1.8,Varias,2.4,13:15,32,2.5,9.7,14:40,938.8,24,934.1,0
09/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,0.8,0,-2.8,Varias,4.5,14:20,28,3.3,10.3,11:50,,,,
09/01/2010,3195,MADRID. RETIRO,MADRID,667,0.3,0,-1.8,Varias,2.4,13:15,32,2.5,9.7,14:40,938.8,24,934.1,0
10/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,-2.1,0,-5.2,07:00,1,13:30,24,0.8,4.4,00:10,,,,
10/01/2010,3195,MADRID. RETIRO,MADRID,667,-1.8,4.4,-3.8,07:55,0.1,14:00,26,0.3,4.4,00:40,938.8,0,934.9,18
10/01/2010,3195,MADRID. RETIRO,MADRID,667,-1.8,4.4,-3.8,07:55,0.1,14:00,26,0.3,4.4,00:40,938.8,0,934.9,18
11/01/2010,3195,MADRID. RETIRO,MADRID,667,-0.4,0.2,-2.8,05:10,2,13:15,22,1.7,4.7,17:30,943.1,22,936,Varias
11/01/2010,3195,MADRID. RETIRO,MADRID,667,-0.4,0.2,-2.8,05:10,2,13:15,22,1.7,4.7,17:30,943.1,22,936,Varias
11/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,0,7.1,-3.5,08:20,3.6,13:40,,0,,,,,,
12/01/2010,3195,MADRID. RETIRO,MADRID,667,1.6,6.2,-0.6,00:15,3.8,21:10,31,1.4,9.2,21:10,942.6,0,929.8,17
12/01/2010,3195,MADRID. RETIRO,MADRID,667,1.6,6.2,-0.6,00:15,3.8,21:10,31,1.4,9.2,21:10,942.6,0,929.8,17
12/01/2010,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,2.2,6.3,0.3,00:10,4,21:10,25,0,6.1,19:30,,,,
13/01/2010,3195,MADRID. RETIRO,MADRID,667,4.6,10.7,1.4,05:40,7.9,23:59,26,2.2,7.2,06:10,937.6,9,925.5,24
13/01/2010,3195,MADRID. RETIRO,MADRID,667,4.6,10.7,1.4,05:40,7.9,23:59,26,2.2,7.2,06:10,937.6,9,925.5,24
