id,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin
0,01/01/2012,3195,MADRID. RETIRO,MADRID,667,7,-1,2.3,07:30,11.6,16:10,25,1.1,7.2,23:59,951,0,947.3,18
0,01/01/2012,3195,MADRID. RETIRO,MADRID,667,7,-1,2.3,07:30,11.6,16:10,25,1.1,7.2,23:59,951,0,947.3,18
0,01/01/2012,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,6.2,,-1.1,07:00,13.6,15:00,28,0.8,5.3,15:30,,,,
1,02/01/2012,3195,MADRID. RETIRO,MADRID,667,8.7,0.1,5.8,23:59,11.6,14:25,25,3.9,12.5,11:40,954,24,947.5,5
1,02/01/2012,3195,MADRID. RETIRO,MADRID,667,8.7,0.1,5.8,23:59,11.6,14:25,25,3.9,12.5,11:40,954,24,947.5,5
1,02/01/2012,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,8.4,0,3.9,23:50,13,12:40,29,4.4,16.4,13:00,,,,
2,03/01/2012,3195,MADRID. RETIRO,MADRID,667,6,0,1.5,07:40,10.5,14:55,23,0.8,3.9,15:10,955.3,11,952.8,15
2,03/01/2012,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,5.7,,-1.5,07:40,12.9,15:10,30,0.6,3.6,11:30,,,,
2,03/01/2012,3195,MADRID. RETIRO,MADRID,667,6,0,1.5,07:40,10.5,14:55,23,0.8,3.9,15:10,955.3,11,952.8,15
3,04/01/2012,3195,MADRID. RETIRO,MADRID,667,6,0,0.5,07:30,11.6,15:30,12,0.8,5.8,03:40,957.6,11,953.8,14
3,04/01/2012,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,,,,,,,,0.6,,,,,,
3,04/01/2012,3195,MADRID. RETIRO,MADRID,667,6,0,0.5,07:30,11.6,15:30,12,0.8,5.8,03:40,957.6,11,953.8,14
4,05/01/2012,3195,MADRID. RETIRO,MADRID,667,7.6,0,2.2,07:00,13,Varias,19,0.8,4.7,08:10,955.2,0,950.7,18
4,05/01/2012,3195,MADRID. RETIRO,MADRID,667,7.6,0,2.2,07:00,13,Varias,19,0.8,4.7,08:10,955.2,0,950.7,18
4,05/01/2012,3194U,MADRID. CIUDAD UNIVERSITARIA,MADRID,664,7,,-1,07:40,15,16:00,33,0.6,4.2,21:10,,,,
5,06/01/2012,3195,MADRID. RETIRO,MADRID,667,9,0,3,07:30,15,13:50,11,3.1,11.4,16:10,952.3,11,950.8,14
